,,,,,,,,,,,,,,Buy,,,,,,,,,,,,,Sell,,,,,,,,,,,
,nifty_buy1.3,nifty_buy1.5,nifty_buy1.7,nifty_buy3.3,nifty_buy3.5,nifty_buy3.7,nifty_buy5.3,nifty_buy5.5,nifty_buy5.7,nifty1,nifty3,nifty5,Close, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5,, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5
29,0,1,0,0,0,0,0,0,0,1,0,1,11643.45,0,0.004,0,0,0,0,0,0,0,0.004,0,-1,,-0.004,0,-0.004,-0.009,-0.009,-0.009,0.006,0.006,0.006,,,
30,0,1,1,0,1,1,0,1,1,1,0,1,11690.35,0,0.008,0.008,0,-0.008,-0.008,0,0.003,0.003,0.008,0,0,,-0.008,0,0,0.008,0,0,-0.003,0,0,,,
31,0,1,1,0,0,1,0,1,1,1,0,1,11787.15,0,-0.003,-0.003,0,0,-0.018,0,-0.012,-0.012,-0.003,0,0,,0.003,0,0,0.018,0.018,0,0.012,0,0,,,
32,0,0,1,0,0,1,0,0,0,1,1,1,11752.8,0,0,-0.013,0,0,-0.002,0,0,0,-0.013,-0.002,-1,,0.014,0.014,0,0.002,0.002,0,0,0,0,,,
33,1,0,1,1,0,1,1,1,0,0,1,0,11594.45,-0.002,0,-0.002,0.004,0,0.004,0.013,0.013,0,0,0.004,0,,0,0.002,0,0,-0.004,0,0,0,-0.013,,,
34,1,1,1,1,1,1,1,1,1,0,1,0,11575.95,0.013,0.013,0.013,0.015,0.015,0.015,0.013,0.013,0.013,0,0.015,0,,0,0,0,0,0,0,0,0,0,,,
35,0,1,1,0,1,1,0,1,0,1,0,1,11726.15,0,-0.007,-0.007,0,0.002,0.002,0,-0.001,0,-0.007,0,0,,0.007,0,0,-0.002,0,0,0.001,0,0.001,,,
36,0,1,1,0,1,1,0,1,1,1,0,1,11641.8,0,0.01,0.01,0,0.007,0.007,0,-0.004,-0.004,0.01,0,0,,-0.01,0,0,-0.007,0,0,0.004,0,0,,,
37,0,1,1,1,1,1,1,1,0,0,0,0,11754.65,0,-0.001,-0.001,-0.004,-0.004,-0.004,-0.022,-0.022,0,0,0,0,,0.001,0,0,0,0,0,0,0,0.022,,,
38,1,1,0,1,1,0,1,1,0,0,0,0,11748.15,-0.002,-0.002,0,-0.013,-0.013,0,-0.033,-0.033,0,0,0,0,,0,0,0.002,0,0,0.013,0,0,0.034,,,
